Var1,ASP14_i10_plus_midlow
10FTHF5GLUtl,NaN
10FTHF5GLUtm,NaN
10FTHF6GLUtl,NaN
10FTHF6GLUtm,NaN
10FTHF7GLUtl,NaN
10FTHF7GLUtm,NaN
10FTHFtl,NaN
10FTHFtm,NaN
11DOCRTSLtm,NaN
11DOCRTSLtr,NaN
11DOCRTSTRNtm,NaN
11DOCRTSTRNtr,NaN
13DAMPPOX,NaN
1a_24_25VITD2Hm,NaN
1a_24_25VITD3Hm,NaN
1a_25VITD2Hm,NaN
1a_25VITD3Hm,NaN
1MNCAMti,NaN
1PPDCRp,NaN
24_25DHVITD2t,NaN
24_25DHVITD2tm,NaN
24_25DHVITD3t,NaN
24_25DHVITD3tm,NaN
24_25VITD2Hm,NaN
24_25VITD3Hm,NaN
24NPHte,NaN
25HVITD2t,NaN
25HVITD2tin,NaN
25HVITD2tin_m,NaN
25HVITD2tm,NaN
25HVITD3t,NaN
25HVITD3tin,NaN
25HVITD3tin_m,NaN
25HVITD3tm,NaN
25VITD2Hm,NaN
25VITD3Hm,NaN
2AMACHYD,NaN
2AMACSULT,NaN
2AMADPTm,NaN
2DR1PP,NaN
2HBO,3.178
2HBt2,2.421
2HCO3_NAt,NaN
2MCITt,NaN
2OXOADOXm,0.313
2OXOADPTm,NaN
34DHOXPEGOX,2.509
34DHOXPEGt,NaN
34DHPHAMT,1.841
34DHPHEt,NaN
34DHPLACOX,NaN
34DHPLACOX_NADP,NaN
34DHXMANDACOX,NaN
34DHXMANDACOX_NADP,NaN
34HPLFM,NaN
34HPPOR,NaN
35CGMPtn,NaN
3AIBt,NaN
3AIBTm,NaN
3AIBtm,NaN
3DPHBH1,NaN
3DPHBH2,NaN
3DSPHR,1.229
3HAO,NaN
3HBCDm,NaN
3HBCOAHLm,NaN
3HKYNAKGAT,NaN
3HLYTCL,NaN
3HPCOAHYD,1.92
3HPPD,NaN
3HXKYNDCL,NaN
3HXKYNOXDA,NaN
3M4HDXPAC,NaN
3MLDAt,NaN
3MOBt2im,NaN
3MOPt2im,NaN
3MOX4HOXPGALDOX,NaN
3MOX4HOXPGALDOX_NADP,NaN
3MOXTYROX,NaN
3NTD7l,0.831
3SALAASPm,1.206
3SALACBOXL,NaN
