Var1,ASP14_i10_plus_midhigh
r2105,2.4145
r2107,2.4145
r2110,2.4145
r2112,2.4145
r2114,2.4145
r2117,2.4145
r2119,2.4145
r2128,2.4145
r2137,NaN
r2308,NaN
r2309,NaN
r2371,1.2435
r2372,1.2435
r2373,1.2435
r2374,1.2435
r2375,1.2435
r2376,1.2435
r2377,1.2435
r2378,1.2435
r2379,1.2435
r2380,1.2435
r2381,1.2435
r2382,1.2435
r2384,1.2435
r2385,1.2435
r2386,1.2435
r2387,1.2435
r2388,1.2435
r2389,1.2435
r2390,1.2435
r2391,1.2435
r2392,1.2435
r2393,1.2435
r2394,1.2435
r2395,NaN
r2396,NaN
r2397,NaN
r2398,NaN
r2399,NaN
r2400,NaN
r2401,NaN
r2402,NaN
r2403,NaN
r2404,NaN
r2405,NaN
r2406,NaN
r2407,NaN
r2408,NaN
r2409,NaN
r2410,NaN
r2411,NaN
r2412,NaN
r2413,NaN
r2416,NaN
r2419,NaN
r2420,NaN
r2439,NaN
r2471,NaN
r2472,NaN
r2473,0.3235
r2516,2.4145
r2519,NaN
r2520,1.539
r2521,NaN
r2525,NaN
r2526,NaN
r2532,NaN
r2534,NaN
r2535,NaN
EX_sprm_e,NaN
RE0383C,2.2155
RE0453C,NaN
RE0688E,NaN
RE0689E,NaN
RE0690E,NaN
RE0691C,NaN
RE0827E,NaN
RE0828E,NaN
RE1233C,NaN
RE1897C,NaN
RE1898C,NaN
RE2349C,NaN
RE2954C,3.0285
RE3367E,NaN
EX_citr_L_e,NaN
EX_C02470_e,NaN
EX_CE1935_e,NaN
EX_CE1940_e,NaN
EX_CE1943_e,NaN
EX_CE1936_e,NaN
EX_CE1939_e,NaN
CITt4_4,NaN
GLYt7_311_r,NaN
HCO3_NAt,1.654
PIt8,2.3605
PIt9,NaN
PROt4_2_r,NaN
CYOOm3,1.4385
biomass,NaN
ALAATB0tc,NaN
ALAyLATthc,2.012
ARGATB0tc,NaN
ASNATB0tc,NaN
ASNPHELAT2tc,2.012
BALABETAtc,0.4445
CHOLESTTDe,NaN
CYSATB0tc,NaN
CYSPHELAT2tc,2.012
CYSSNAT5tc,NaN
GLCSGLT1le,NaN
GLNATB0tc,NaN
GLNyLATthc,2.012
GLYSNAT5tc,NaN
HISCAT1,1.455
HISSNAT5tc,NaN
HISyLATtc,2.012
HISyLATthc,2.012
ILEATB0tc,NaN
ILELAT1tc,0.965
ILEPHELAT2tc,2.012
LEUATB0tc,NaN
LEUPHELAT2tc,2.012
LEUyLAThtc,2.012
LYSATB0tc,NaN
METATB0tc,NaN
METyLATthc,2.012
MTHFTe,NaN
OAADC,NaN
ORNALArBATtc,NaN
ORNLEUrBATtc,NaN
PHEATB0tc,NaN
PHEyLATthc,2.012
PROIMINOtc,NaN
SERATB0tc,NaN
THRATB0tc,NaN
THRPHELAT2tc,2.012
TRPATB0tc,NaN
TYRATB0tc,NaN
TYRPHELAT2tc,2.012
VALATB0tc,NaN
VALLAT1tc,0.965
VALPHELAT2tc,2.012
3AIB_Dtm,NaN
3HCO3_NAt,NaN
ADNK3,NaN
ADNK4,NaN
AHCYStd,NaN
AMETtd,NaN
ASPPROASCT1,1.3125
ASPte,NaN
CHSTEROLtrc,NaN
DHAPtc,NaN
FADH2ETC,2.265
G6PDH2c,0.8935
GLU5SAtmc,NaN
GLUPROASCT1,1.3125
GLY3Pt,NaN
GLYC3PFADm,NaN
GLYC3Ptmc,NaN
GNDc,2.455
LACLt,NaN
MTHFR3,NaN
NADtx,NaN
P5CR,1.0685
PGLc,0.756
PPItm,NaN
PRO1x,NaN
PTCRTD,NaN
RPEc,1.9845
SPMTDe,NaN
SPRMTDe,NaN
34HPPte,NaN
3MOBte,NaN
3MOPte,NaN
4MOPte,NaN
5MTAte,NaN
AHCYSte,NaN
EX_34hpp,NaN
EX_3mob_e,NaN
EX_3mop_e,NaN
EX_4mop_e,NaN
EX_5mta_e,NaN
EX_ahcys_e,NaN
EX_mal_L_e,NaN
MAL_Lte,NaN
OROTGLUt,NaN
LMPD_atp_c_1_10,NaN
LMPD_gtp_c_1_9,NaN
LMPD_pail_hs_c_1_10,NaN
LMPD_ctp_c_1_5,NaN
LMPD_pchol_hs_c_1_9,NaN
LMPD_pe_hs_c_1_9,NaN
LMPD_chsterol_c_1_21,NaN
LMPD_pglyc_hs_c_1_11,NaN
LMPD_clpn_hs_c_1_12,NaN
LMPD_dgtp_n_1_11,NaN
LMPD_dctp_n_1_7,NaN
LMPD_datp_n_1_12,NaN
LMPD_dttp_n_1_11,NaN
LMPD_ps_hs_c_1_8,NaN
LMPD_sphmyln_hs_c_1_12,NaN
